Advert ID	Title	LGA	Locality	Description	Newspaper	Advert Date	Expiry Date	Longtitude	Latitiude	HTML	Cluster Id	Date	Comments
392549029	PROPOSED ROAD CLOSING SECTION 35 ROADS ACT 1993 & NOTICE OF INTENTION TO SELL CROWN LANDS SECTION 34(3) CROWN LANDS ACT 1989	{"UPPER LACHLAN SHIRE COUNCIL"}	PEELWOOD	Crown and unformed council roads at Peelwood bounded by the Abercrombie River to the north, Mount Costigan Rd to the west, Peelwood Creek to the south, within and adjoining the properties of  457 614 Montana Rd (File Ref:15/11057, Cluster 561404)	Crookwell Gazette	16 June 2016	14 July 2016	149.428478	-34.11480887	<p><br/></p> <p><b>PROPOSED ROAD CLOSING SECTION 35 ROADS ACT 1993 &amp; NOTICE OF INTENTION TO SELL CROWN LANDS SECTION 34(3) CROWN LANDS ACT 1989</b></p> <p>In pursuance of the provisions of the <i>Roads Act 1993</i>, notice is hereby given that the Minister for Lands and Water proposes to consider closing the public roads listed in Schedule 1. </p> <p>Schedule 1:</p> <ul> <li><p>Crown and unformed council roads at Peelwood bounded by the Abercrombie River to the north, Mount Costigan Rd to the west, Peelwood Creek to the south, within and adjoining the properties of&nbsp; 457 614 Montana Rd (File Ref:15/11057, Cluster 561404)&nbsp; </p> </li> </ul><p>All interested persons are hereby invited to make submissions concerning the proposal to DPI - Lands, PO Box 2215, DANGAR NSW 2309 within twenty-eight (28) days of the date of this advertisement.&nbsp; Please note that under the provisions of the Government Information (Public Access) Act, such submissions may be referred to third parties (such as council or the closure applicant) for consideration.</p> <p>In the event of closing of the road proving to be unobjectionable it is further notified that, on a date not less than fourteen (14) days after the date of notification in the Government Gazette of the closing of such roads, consideration may be given to the sale/vesting of the included area of Crown Land under the <i>Crown Lands Act 1989</i>. </p> <p>For further enquiries please visit the website www.crownland.nsw.gov.au or contact Tiarn Farrell by email at tiarn.farrell@crownland.nsw.gov.au or on T:02 4920 5085 quoting file references above.</p> <p><br/></p> <p>For the Manager, Business Centre Newcastle</p>			
392764782	PROPOSED ROAD CLOSING SECTION 35 ROADS ACT 1993 & NOTICE OF INTENTION TO SELL CROWN LANDS SECTION 34(3) CROWN LANDS ACT 1989	{"LITHGOW CITY COUNCIL"}	LOWTHER, HAMPTON	Crown roads at Hampton and Lowther, north of Jenolan Caves Rd, east of Hampton Rd, within the properties 1598 and 1758 Jenolan Caves Rd (File Ref: 15/09981, Cluster: 559990)	Lithgow Mercury	17 June 2016	15 July 2016	150.1118776	-33.61582161	<p><br/></p> <p><b>PROPOSED ROAD CLOSING SECTION 35 ROADS ACT 1993 &amp; NOTICE OF INTENTION TO SELL CROWN LANDS SECTION 34(3) CROWN LANDS ACT 1989</b></p> <p>In pursuance of the provisions of the <i>Roads Act 1993</i>, notice is hereby given that the Minister for Lands and Water proposes to consider closing the public roads listed in Schedule 1. </p> <p>Schedule 1:</p> <ul> <li><p>Crown roads at Hampton and Lowther, north of Jenolan Caves Rd, east of Hampton Rd, within the properties 1598 and 1758 Jenolan Caves Rd (File Ref: 15/09981, Cluster: 559990)&nbsp; </p> </li> </ul><p>All interested persons are hereby invited to make submissions concerning the proposal to DPI - Lands, PO Box 2215, DANGAR NSW 2309 within twenty-eight (28) days of the date of this advertisement.&nbsp; Please note that under the provisions of the Government Information (Public Access) Act, such submissions may be referred to third parties (such as council or the closure applicant) for consideration.</p> <p>In the event of closing of the road proving to be unobjectionable it is further notified that, on a date not less than fourteen (14) days after the date of notification in the Government Gazette of the closing of such roads, consideration may be given to the sale/vesting of the included area of Crown Land under the <i>Crown Lands Act 1989</i>. </p> <p>For further enquiries please visit the website www.crownland.nsw.gov.au or contact Tiarn Farrell by email at tiarn.farrell@crownland.nsw.gov.au or on T:02 4920 5085 quoting file references above.</p> <p><br/></p> <p>For the Manager, Business Centre Newcastle</p>			
393133119	PROPOSED ROAD CLOSING SECTION 35 ROADS ACT 1993 & NOTICE OF INTENTION TO SELL CROWN LANDS SECTION 34(3) CROWN LANDS ACT 1989	{"HAWKESBURY CITY COUNCIL"}	ST ALBANS	Unconstructed Council road within Lots 4 & 6 DP 1079629 off St Albans Road at 1521 & 1533 St Albans Road, St Albans.  File 07/4485, Cluster 568761, Case officer: S Ambrus).	Hawkesbury Gazette	22 June 2016	20 July 2016	150.9718707	-33.29215929	<p><br/></p> <p><b>PROPOSED ROAD CLOSING SECTION 35 ROADS ACT 1993 &amp; NOTICE OF INTENTION TO SELL CROWN LANDS SECTION 34(3) CROWN LANDS ACT 1989</b></p> <p>In pursuance of the provisions of the <i>Roads Act 1993</i>, notice is hereby given that the Minister for Lands and Water proposes to consider closing the public roads listed in Schedule 1. </p> <p>Schedule 1:</p> <ul> <li><p>Unconstructed Council road within Lots 4 &amp; 6 DP 1079629 off St Albans Road at 1521 &amp; 1533 St Albans Road, St Albans.&nbsp; File 07/4485, Cluster 568761, Case officer: S Ambrus).&nbsp; </p> </li> </ul><p>All interested persons are hereby invited to make submissions concerning the proposal to DPI - Lands, PO Box 2215, DANGAR NSW 2309 within twenty-eight (28) days of the date of this advertisement.&nbsp; Please note that under the provisions of the Government Information (Public Access) Act, such submissions may be referred to third parties (such as council or the closure applicant) for consideration.</p> <p>In the event of closing of the road proving to be unobjectionable it is further notified that, on a date not less than fourteen (14) days after the date of notification in the Government Gazette of the closing of such roads, consideration may be given to the sale/vesting of the included area of Crown Land under the <i>Crown Lands Act 1989</i>. </p> <p>For further enquiries please visit the website www.crownland.nsw.gov.au or contact Sharon Ambrus by email at Sharon.Ambrus@crownland.nsw.gov.au or on T:02 4428 9116 quoting file references above.</p> <p><br/></p> <p>For the Manager, Business Centre Newcastle</p>			
393259622	PROPOSED ROAD CLOSING SECTION 35 ROADS ACT 1993 & NOTICE OF INTENTION TO SELL CROWN LANDS SECTION 34(3) CROWN LANDS ACT 1989	{"BELLINGEN SHIRE COUNCIL"}	BIELSDOWN HILLS	Crown roads at Bielsdown Hills; within property at 849 Whiskey Creek Road, within property at 683 Rocky Creek Road, and within property at 803 Whiskey Creek Road.   (File ref: 14/10243 543739)	Bellingen Courier-Sun	22 June 2016	20 July 2016	152.6728427	-30.36105979	<p><br/></p> <p><b>PROPOSED ROAD CLOSING SECTION 35 ROADS ACT 1993 &amp; NOTICE OF INTENTION TO SELL CROWN LANDS SECTION 34(3) CROWN LANDS ACT 1989</b></p> <p>In pursuance of the provisions of the <i>Roads Act 1993</i>, notice is hereby given that the Minister for Lands and Water proposes to consider closing the public roads listed in Schedule 1. </p> <p>Schedule 1:</p> <ul> <li><p>Crown roads at Bielsdown Hills; within property at 849 Whiskey Creek Road, within property at 683 Rocky Creek Road, and within property at 803 Whiskey Creek Road.&nbsp;&nbsp; (File ref: 14/10243 543739)&nbsp; </p> </li> </ul><p>All interested persons are hereby invited to make submissions concerning the proposal to DPI - Lands, PO Box 2215, DANGAR NSW 2309 within twenty-eight (28) days of the date of this advertisement.&nbsp; Please note that under the provisions of the Government Information (Public Access) Act, such submissions may be referred to third parties (such as council or the closure applicant) for consideration.</p> <p>In the event of closing of the road proving to be unobjectionable it is further notified that, on a date not less than fourteen (14) days after the date of notification in the Government Gazette of the closing of such roads, consideration may be given to the sale/vesting of the included area of Crown Land under the <i>Crown Lands Act 1989</i>. </p> <p>For further enquiries please visit the website www.crownland.nsw.gov.au or contact Kate Unitt by email at kate.unitt@crownland.nsw.gov.au or on T:02 6640 3929 quoting file references above.</p> <p><br/></p> <p>For the Manager, Business Centre Newcastle</p>			
393259634	PROPOSED ROAD CLOSING SECTION 35 ROADS ACT 1993 & NOTICE OF INTENTION TO SELL CROWN LANDS SECTION 34(3) CROWN LANDS ACT 1989	{"SNOWY MONARO REGIONAL COUNCIL"}	MICHELAGO	Crown roads at Michelago; within and east of Lot 8 DP 830029, which is at the northern end of Clearview Road.   (File ref: 16/04959 568600)	Cooma Monaro Post	22 June 2016	20 July 2016	149.1495129	-35.63946131	<p><br/></p> <p><b>PROPOSED ROAD CLOSING SECTION 35 ROADS ACT 1993 &amp; NOTICE OF INTENTION TO SELL CROWN LANDS SECTION 34(3) CROWN LANDS ACT 1989</b></p> <p>In pursuance of the provisions of the <i>Roads Act 1993</i>, notice is hereby given that the Minister for Lands and Water proposes to consider closing the public roads listed in Schedule 1. </p> <p>Schedule 1:</p> <ul> <li><p>Crown roads at Michelago; within and east of Lot 8 DP 830029, which is at the northern end of Clearview Road.&nbsp;&nbsp; (File ref: 16/04959 568600)&nbsp; </p> </li> <li><p>Crown roads at Chakola; within Lot 23 DP620844, bounded by Numeralla River to the north and west, Chakola Road to the south, and the Goulburn Bombala Railway to the east. (File ref: 16/05029 568678)&nbsp; </p> </li> </ul><p>All interested persons are hereby invited to make submissions concerning the proposal to DPI - Lands, PO Box 2215, DANGAR NSW 2309 within twenty-eight (28) days of the date of this advertisement.&nbsp; Please note that under the provisions of the Government Information (Public Access) Act, such submissions may be referred to third parties (such as council or the closure applicant) for consideration.</p> <p>In the event of closing of the road proving to be unobjectionable it is further notified that, on a date not less than fourteen (14) days after the date of notification in the Government Gazette of the closing of such roads, consideration may be given to the sale/vesting of the included area of Crown Land under the <i>Crown Lands Act 1989</i>. </p> <p>For further enquiries please visit the website www.crownland.nsw.gov.au or contact Stephen Houlahan by email at Steve.Houlahan@crownland.nsw.gov.au or on T:02 6640 3908 quoting file references above.</p> <p><br/></p> <p>For the Manager, Business Centre Newcastle</p>			
393259634	PROPOSED ROAD CLOSING SECTION 35 ROADS ACT 1993 & NOTICE OF INTENTION TO SELL CROWN LANDS SECTION 34(3) CROWN LANDS ACT 1989	{"SNOWY MONARO REGIONAL COUNCIL"}	CHAKOLA	Crown roads at Chakola; within Lot 23 DP620844, bounded by Numeralla River to the north and west, Chakola Road to the south, and the Goulburn Bombala Railway to the east. (File ref: 16/05029 568678)	Cooma Monaro Post	22 June 2016	20 July 2016	149.1861434	-36.10258896	<p><br/></p> <p><b>PROPOSED ROAD CLOSING SECTION 35 ROADS ACT 1993 &amp; NOTICE OF INTENTION TO SELL CROWN LANDS SECTION 34(3) CROWN LANDS ACT 1989</b></p> <p>In pursuance of the provisions of the <i>Roads Act 1993</i>, notice is hereby given that the Minister for Lands and Water proposes to consider closing the public roads listed in Schedule 1. </p> <p>Schedule 1:</p> <ul> <li><p>Crown roads at Michelago; within and east of Lot 8 DP 830029, which is at the northern end of Clearview Road.&nbsp;&nbsp; (File ref: 16/04959 568600)&nbsp; </p> </li> <li><p>Crown roads at Chakola; within Lot 23 DP620844, bounded by Numeralla River to the north and west, Chakola Road to the south, and the Goulburn Bombala Railway to the east. (File ref: 16/05029 568678)&nbsp; </p> </li> </ul><p>All interested persons are hereby invited to make submissions concerning the proposal to DPI - Lands, PO Box 2215, DANGAR NSW 2309 within twenty-eight (28) days of the date of this advertisement.&nbsp; Please note that under the provisions of the Government Information (Public Access) Act, such submissions may be referred to third parties (such as council or the closure applicant) for consideration.</p> <p>In the event of closing of the road proving to be unobjectionable it is further notified that, on a date not less than fourteen (14) days after the date of notification in the Government Gazette of the closing of such roads, consideration may be given to the sale/vesting of the included area of Crown Land under the <i>Crown Lands Act 1989</i>. </p> <p>For further enquiries please visit the website www.crownland.nsw.gov.au or contact Stephen Houlahan by email at Steve.Houlahan@crownland.nsw.gov.au or on T:02 6640 3908 quoting file references above.</p> <p><br/></p> <p>For the Manager, Business Centre Newcastle</p>			
393133116	PROPOSED ROAD CLOSING SECTION 35 ROADS ACT 1993 & NOTICE OF INTENTION TO SELL CROWN LANDS SECTION 34(3) CROWN LANDS ACT 1989	THE HILLS SHIRE COUNCIL	MAROOTA	Unconstructed and unnamed Crown road within Lot 2 DP 787301 in the vicinity of 4096 Old Northern Road, Maroota. (File Ref: 15/09311 Cluster No: 565425, W 557794)	Hawkesbury Gazette	22 June 2016	20 July 2016	150.994824	-33.46054744	<p><br/></p> <p><b>PROPOSED ROAD CLOSING SECTION 35 ROADS ACT 1993 &amp; NOTICE OF INTENTION TO SELL CROWN LANDS SECTION 34(3) CROWN LANDS ACT 1989</b></p> <p>In pursuance of the provisions of the <i>Roads Act 1993</i>, notice is hereby given that the Minister for Lands and Water proposes to consider closing the public roads listed in Schedule 1. </p> <p>Schedule 1:</p> <ul> <li><p>Unconstructed and unnamed Crown road within Lot 2 DP 787301 in the vicinity of 4096 Old Northern Road, Maroota. (File Ref: 15/09311 Cluster No: 565425, W 557794)&nbsp; </p> </li> </ul><p>All interested persons are hereby invited to make submissions concerning the proposal to DPI - Lands, PO Box 2215, DANGAR NSW 2309 within twenty-eight (28) days of the date of this advertisement.&nbsp; Please note that under the provisions of the Government Information (Public Access) Act, such submissions may be referred to third parties (such as council or the closure applicant) for consideration.</p> <p>In the event of closing of the road proving to be unobjectionable it is further notified that, on a date not less than fourteen (14) days after the date of notification in the Government Gazette of the closing of such roads, consideration may be given to the sale/vesting of the included area of Crown Land under the <i>Crown Lands Act 1989</i>. </p> <p>For further enquiries please visit the website www.crownland.nsw.gov.au or contact Sharon Ambrus by email at Sharon.Ambrus@crownland.nsw.gov.au or on T:02 4428 9116 quoting file references above.</p> <p><br/></p> <p>For the Manager, Business Centre Newcastle</p>			
393259625	PROPOSED ROAD CLOSING SECTION 35 ROADS ACT 1993 & NOTICE OF INTENTION TO SELL CROWN LANDS SECTION 34(3) CROWN LANDS ACT 1989	{"SNOWY MONARO REGIONAL COUNCIL"}	NUMERALLA	Crown road at Numeralla, northern most part of Monaro Street, bounded by River Street, Maclean Street and Albert Street. (CL 564566 REF 16/01450)	Canberra Times	23 June 2016	21 July 2016	150.3518074	-33.001111	<p><br/></p> <p><b>PROPOSED ROAD CLOSING SECTION 35 ROADS ACT 1993 &amp; NOTICE OF INTENTION TO SELL CROWN LANDS SECTION 34(3) CROWN LANDS ACT 1989</b></p> <p>In pursuance of the provisions of the <i>Roads Act 1993</i>, notice is hereby given that the Minister for Lands and Water proposes to consider closing the public roads listed in Schedule 1. </p> <p>Schedule 1:</p> <ul> <li><p>Crown road at Numeralla, northern most part of Monaro Street, bounded by River Street, Maclean Street and Albert Street. (CL 564566 REF 16/01450)&nbsp; </p> </li> </ul><p>All interested persons are hereby invited to make submissions concerning the proposal to DPI - Lands, PO Box 2215, DANGAR NSW 2309 within twenty-eight (28) days of the date of this advertisement.&nbsp; Please note that under the provisions of the Government Information (Public Access) Act, such submissions may be referred to third parties (such as council or the closure applicant) for consideration.</p> <p>In the event of closing of the road proving to be unobjectionable it is further notified that, on a date not less than fourteen (14) days after the date of notification in the Government Gazette of the closing of such roads, consideration may be given to the sale/vesting of the included area of Crown Land under the <i>Crown Lands Act 1989</i>. </p> <p>For further enquiries please visit the website www.crownland.nsw.gov.au or contact Cassandra Hewat by email at cassandra.hewat@crownland.nsw.gov.au or on T:02 6640 3948 quoting file references above.</p> <p><br/></p> <p>For the Manager, Business Centre Newcastle</p>			
393259628	PROPOSED ROAD CLOSING SECTION 35 ROADS ACT 1993 & NOTICE OF INTENTION TO SELL CROWN LANDS SECTION 34(3) CROWN LANDS ACT 1989	{"HILLTOPS COUNCIL"}	CROWTHER, GODFREYS CREEK	Crown roads at Crowther & Godfreys Creek, west of Lachlan Valley Way, east of the Olympic Highway, within and adjoining the properties of 1000 & 1350 Pipe Clay Rd, Innesvale, & 1202 Karoopa Lane (File Ref: 16/04272, Cluster 567518)	Boorowa News	23 June 2016	21 July 2016	148.507082	-34.09663453	<p><br/></p> <p><b>PROPOSED ROAD CLOSING SECTION 35 ROADS ACT 1993 &amp; NOTICE OF INTENTION TO SELL CROWN LANDS SECTION 34(3) CROWN LANDS ACT 1989</b></p> <p>In pursuance of the provisions of the <i>Roads Act 1993</i>, notice is hereby given that the Minister for Lands and Water proposes to consider closing the public roads listed in Schedule 1. </p> <p>Schedule 1:</p> <ul> <li><p>Crown roads at Crowther &amp; Godfreys Creek, west of Lachlan Valley Way, east of the Olympic Highway, within and adjoining the properties of 1000 &amp; 1350 Pipe Clay Rd, Innesvale, &amp; 1202 Karoopa Lane (File Ref: 16/04272, Cluster 567518)&nbsp; </p> </li> </ul><p>All interested persons are hereby invited to make submissions concerning the proposal to DPI - Lands, PO Box 2215, DANGAR NSW 2309 within twenty-eight (28) days of the date of this advertisement.&nbsp; Please note that under the provisions of the Government Information (Public Access) Act, such submissions may be referred to third parties (such as council or the closure applicant) for consideration.</p> <p>In the event of closing of the road proving to be unobjectionable it is further notified that, on a date not less than fourteen (14) days after the date of notification in the Government Gazette of the closing of such roads, consideration may be given to the sale/vesting of the included area of Crown Land under the <i>Crown Lands Act 1989</i>. </p> <p>For further enquiries please visit the website www.crownland.nsw.gov.au or contact Tiarn Farrell by email at tiarn.farrell@crownland.nsw.gov.au or on T:02 4920 5085 quoting file references above.</p> <p><br/></p> <p>For the Manager, Business Centre Newcastle</p>			
393259631	PROPOSED ROAD CLOSING SECTION 35 ROADS ACT 1993 & NOTICE OF INTENTION TO SELL CROWN LANDS SECTION 34(3) CROWN LANDS ACT 1989	{"YASS VALLEY COUNCIL"}	BINALONG	Crown roads at Binalong, within and adjoining the property at 1991 Burley Griffin Way. Crown roads are bounded by Burley Griffin Way, Garryowen Road, Cattle Street and Hay Street. (CL 567832 REF: 16/04175)	Canberra Times	23 June 2016	21 July 2016	148.6328322	-34.67135899	<p><br/></p> <p><b>PROPOSED ROAD CLOSING SECTION 35 ROADS ACT 1993 &amp; NOTICE OF INTENTION TO SELL CROWN LANDS SECTION 34(3) CROWN LANDS ACT 1989</b></p> <p>In pursuance of the provisions of the <i>Roads Act 1993</i>, notice is hereby given that the Minister for Lands and Water proposes to consider closing the public roads listed in Schedule 1. </p> <p>Schedule 1:</p> <ul> <li><p>Crown roads at Binalong, within and adjoining the property at 1991 Burley Griffin Way. Crown roads are bounded by Burley Griffin Way, Garryowen Road, Cattle Street and Hay Street. (CL 567832 REF: 16/04175)&nbsp; </p> </li> </ul><p>All interested persons are hereby invited to make submissions concerning the proposal to DPI - Lands, PO Box 2215, DANGAR NSW 2309 within twenty-eight (28) days of the date of this advertisement.&nbsp; Please note that under the provisions of the Government Information (Public Access) Act, such submissions may be referred to third parties (such as council or the closure applicant) for consideration.</p> <p>In the event of closing of the road proving to be unobjectionable it is further notified that, on a date not less than fourteen (14) days after the date of notification in the Government Gazette of the closing of such roads, consideration may be given to the sale/vesting of the included area of Crown Land under the <i>Crown Lands Act 1989</i>. </p> <p>For further enquiries please visit the website www.crownland.nsw.gov.au or contact Stephen Houlahan by email at Steve.Houlahan@crownland.nsw.gov.au or on T:02 6640 3908 quoting file references above.</p> <p><br/></p> <p>For the Manager, Business Centre Newcastle</p>			
